Country,KDI_Pop_2012,KDI_GNIT_2012,KDI_GNIP_2012,KDI_PPPT_2012,KDI_PPPP_2012,KDI_GDP_2012,SR_NH_1993_2002,SR_NH_2003_2012,SR_EPI_1993_2002,SR_EPI_2003_2012,SR_AMM_2007_2011,SR_AMF_2007_2011,SR_RPI_2013,RMH_EP_2010,RMH_ES_2010,RMH_ET_2010,RMH_MM_2010,RMH_S_2011,RMF_PHI_2011,RMF_PAI_2011,RMF_IA_2005_2010,RMF_BS_2000,RMF_BS_2011,% of GDP,RMF_C_2011,RMF_IP_2000,RMF_IP_2011,RMF_DR_2000,RMF_DR_2011,RME_IR_2005_2007,RME_IR_2010_2012,,RME_WWGI_2011,DCI_DE_1993_2002,DCI_DE_2003_2012,DCI_DA_1993_2002,DCI_DA_2003_2012
Mauritania,4,4.2,1110,9.6,2520,4.9,9,11,2,1,286.38,216.54,18.59,23.71,6.33,1.45,510,22.86,2.04,16.96,0,0,23.89,0,25.64,0,0.39,0,107.35,5.27,14.07,-0.13,2.37,1.02,0.58,0,0
Mexico,121,1176.9,9740,2015.84,16680,2.6,68,55,1,1,129.95,71.53,56.35,18.86,17.73,13.91,50,27.08,8.48,4.86,3.18,23.55,26.67,17.18,19.84,1.79,1.65,72.95,74.41,8.39,12.72,-0.3,2.2,2.25,0.47,0.21,0.18
Moldova,4,7.4,2070,13.1,3690,-0.8,7,5,1,0,300.02,145.33,56.73,4.54,39.15,9.03,41,22.23,1.56,2.6,2.22,13.12,36.64,12.64,33.62,0.53,1.14,96.35,91.74,24.35,30.73,-0.33,2.17,1.7,0.11,2.36,0.68
Morocco,33,97.1,2940,166.6,5040,1.2,11,12,0,0,140.92,88.93,50.79,17.47,9.9,5.91,100,30.47,4.52,18.73,17.1,59.19,89.51,50.73,71.62,2.31,2.6,85.72,80.02,30.78,21.23,-0.3,2.2,3.54,2.56,0.29,0.05
Mozambique,25,12.8,510,25.7,1020,4.7,17,28,9,11,477.28,443.27,12.35,12.53,1.62,0.31,490,42.64,3.68,5.28,2.7,23.35,33.68,16.74,23.65,0.52,1.12,71.71,70.22,17.62,21.34,-0.89,1.61,7.1,1.04,1.12,0.2
Nepal,27,19.2,700,41.1,1500,3.4,10,18,11,3,182.1,155.49,22.61,9.84,6.33,2.04,170,18.39,1.81,2.16,0.62,38.77,63.94,30.28,52.4,0.48,1.49,78.1,81.96,20.05,18.73,1.71,4.21,11.81,4.78,0.49,0.05
Netherlands,17,809.1,48250,731.48,43620,-1.4,7,4,1,0,75.4,55.92,93.01,7.57,40.51,16.45,6,73.05,0,0,61.51,92.29,131.85,134.07,197.9,7.17,4.86,145.27,150.1,3.39,4.95,1.83,4.33,0.05,0.04,0.05,0.01
New Zealand,4,134.9,30620,132,29960,2.3,11,11,0,1,87.31,58.32,88.68,20.72,15.94,24.4,15,72.65,0,0,0,78.66,94.27,110.01,147.72,3.79,2.72,139.84,156.7,11.17,11.96,-0.61,1.89,0.1,4.47,0.03,1.91
Nicaragua,6,9.9,1650,23.7,3960,3.7,21,17,6,2,194,109.2,39.22,8.12,11.52,10.02,95,26.08,0.78,5.94,0.52,34.43,38.12,30.51,32.08,1.22,1.53,88.62,84.15,13.3,19.52,-0.58,1.92,70.67,5.86,2.2,0
Niger,17,6.4,370,11.2,650,7,9,13,15,14,308.76,267.17,18.31,9.76,2.11,0.7,590,25.14,0.21,5.79,0.76,5.93,11.76,5.17,14.03,0.5,0.58,87.2,119.36,10.45,13.56,-1.15,1.35,0.82,0.95,0,0.01
Nigeria,169,241.1,1430,409.1,2420,3.6,18,24,23,16,387.11,359.02,26.8,0,0,0,630,64.39,0.4,2.29,1.67,14.92,30.62,11.65,21.29,0.54,0.68,78.08,69.53,28.73,16.08,1.7,4.2,0.37,0.62,0.02,0.03
Norway,5,496.2,98860,336.06,66960,1.7,4,3,0,0,82.44,49.9,94.29,0.52,45.66,14.58,7,0,0,0,36.63,45.91,0,65.46,0,4.3,4.78,142.58,0,15.88,10.99,-1.14,1.36,0.02,0.08,0.02,0
Pakistan,179,225.4,1260,543.6,3030,2.4,31,46,6,3,188.09,156.62,32.96,14.25,18.97,5.24,260,7.48,0.52,2.62,0,27.66,29.13,22.34,18.25,0.47,0.61,80.74,62.63,10.42,7.54,0.08,2.58,3.04,47.43,0.1,1.35
Panama,4,37.7,9910,67.8,17830,8.9,8,21,2,0,131.09,68.63,55.54,21.32,24.57,16.36,92,34.95,4.87,0,5.25,76.73,82.67,95.45,84.6,2.65,2.87,124.4,102.34,8.46,8.06,-0.69,1.81,0.38,2.34,0.01,0.01
Papua New Guinea,7,12.8,1790,19.9,2780,5.7,15,13,4,3,309.72,233.28,21.86,40.82,4.73,0.84,230,0,0,0,0,28.97,41.76,17.13,22.35,1.53,0.07,59.15,53.53,24.77,31.05,-0.6,1.9,46.21,2.75,0.43,0.03
Paraguay,7,22,3290,37.5,5610,-2.9,8,10,1,7,166.41,119.41,50.09,25.43,30.38,3.08,99,18.09,5.95,1.65,1.23,22.16,27.25,27.13,40.98,1.06,1.09,122.42,150.36,16.2,19.28,-0.18,2.32,1.95,0.14,0.01,0
Peru,30,176.5,5880,306.9,10240,5,23,21,4,3,156.3,95.65,52.23,7.24,27.51,16.56,67,29.15,3.53,11.11,3.5,25.8,29.5,25.65,26.28,0.89,1.34,99.42,89.08,20.89,29.35,-0.49,2.01,4.19,3.35,0.06,0.05
Philippines,97,238.7,2470,425.2,4400,4.8,100,163,5,7,257.03,141.74,45.35,18,19.86,22.37,99,45.48,5.49,0,6.53,50.7,52.22,36.77,31.78,1.21,1.36,72.53,60.86,19.77,31.34,0.83,3.33,6.91,11.99,0.29,0.28
Poland,39,488.3,12670,815.95,21170,1.9,7,13,0,0,197.54,76.1,76.4,15.87,11.42,9.11,5,30.8,0,0,10.26,36.01,50.54,26.57,54.94,2.48,3.31,73.77,108.69,14.55,19.99,0.93,3.43,0.27,0.14,0.24,0.06
Portugal,11,216.6,20580,260.73,24770,-3,7,6,0,0,121.59,52.97,76.52,42.36,13.6,3.84,8,33.74,0,0,33,89.29,133.47,126.1,192.12,4.67,5.93,141.23,143.95,5.09,6.33,0.15,2.65,0.49,0.45,0,0.12
Romania,21,179.6,8420,347.8,16310,4,18,29,2,1,179.17,73.35,64.65,1.38,40.16,6.48,27,18.22,5.86,6.46,2.82,19.67,31.36,7.12,37.99,0.79,1.34,36.17,121.14,23.36,26.28,-0.74,1.76,0.64,0.99,0.25,0.06
Russian Federation,144,1822.7,12700,3260.62,22720,3,49,37,9,1,367.07,137.19,71.08,2.41,30.17,23.28,34,22.68,6.71,3.67,2.23,15.51,40.83,13.27,45.01,1.71,0.93,85.56,110.25,30.46,27.26,-0.21,2.29,1.84,0.19,0.09,0.02
Rwanda,11,6.2,560,13.9,1250,5,6,8,7,2,344.68,312.03,26,27.01,3.36,0.68,340,30.46,5.33,4.3,0,13.04,0,10.25,0,0.42,0.54,78.59,0,14.88,15.49,-0.47,2.03,1.76,0.83,0,0
Saudi Arabia,28,500.5,18030,694.4,25010,4.8,1,10,3,0,122.27,93.58,83.29,15.27,24.02,8.71,24,33.39,0,0,1.73,37.37,51.67,24.37,39.68,0.21,0.46,65.22,76.79,64.81,99.19,-0.39,2.11,0.1,1.12,0,0.03
Senegal,14,14.2,1040,26.3,1920,0.7,8,11,4,3,287.3,235.41,25.87,31.09,6.01,2.28,370,15.35,0.87,3.39,2.21,18.4,31.96,18.6,29.48,0.99,1.17,101.07,92.26,14.18,14.7,-0.12,2.38,2.29,0.38,0.08,0.01
Serbia,7,38.1,5280,80.8,11180,-1.2,6,4,2,0,147.45,80.52,61.47,25.54,28.35,7.64,12,14.89,3.67,2.23,3.25,14.08,43.17,49.11,50.97,2.08,1.52,0,118.06,33.44,36.07,-0.64,1.86,0.16,0.03,0,0
Sierra Leone,6,3.5,580,8.1,1360,13,2,6,10,4,458.91,438.27,13.87,8.66,1.22,0.91,890,32.61,0.51,17.26,0,9.1,18.94,2.03,8.89,0,0.47,22.32,46.97,10.08,14.47,1.47,3.97,0.63,2.78,0,0
Singapore,5,250.8,47210,324.6,61100,-1.1,0,0,2,1,75.16,44.25,72.22,16.56,15.82,12.19,3,60.9,0,0,48.23,98.17,128.1,97.85,112.57,6.23,6.1,99.67,87.88,97.94,100.1,0.79,3.29,0,0,0,0
Slovak Republic,5,92.9,17170,134.03,24770,1.8,5,7,0,0,184.24,74.28,79.41,10.63,36.68,6.5,6,49.29,0,0,5.27,66.9,54.81,51.06,49.7,2.81,3,76.33,90.67,22.39,1.96,0.25,2.75,1.06,0.17,0.08,0.04
South Africa,51,389.8,7610,572.6,11190,1.3,28,20,4,3,572.01,573.56,44.59,6.22,22.04,0.6,300,31.47,7.44,43.3,36.85,51.5,62.6,69.1,68.94,17.47,11.16,134.19,110.12,9.89,11.88,0.94,3.44,1.19,0.33,0.03,0.02
South Sudan,11,7,650,0,0,-57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29,2.21,0,0,0,0
Spain,46,1391.4,30110,1493.85,32320,-1.5,16,12,2,1,94.21,42.62,82.42,18.87,21.94,16.55,6,46.3,0,0,23.82,78.89,150.9,97.77,205.4,5.97,4.91,123.94,136.11,1.47,2.7,-1.6,0.9,0.27,0.1,0.14,0.02
Sri Lanka,20,59.3,2920,124.5,6120,9.2,17,24,3,3,181.77,77.83,51.16,8.35,47.09,10.52,35,36.26,7.53,8.06,3.87,33.45,34.37,28.82,30.64,1.18,1.22,86.14,89.15,10.7,12.21,1.8,4.3,0.22,177.73,0,0.49
Sudan,37,53.8,1450,75.3,2030,0.6,17,17,11,17,261.99,207.7,21.71,25.66,4.05,1.66,730,22.67,9.49,20.74,0.55,5.67,15.9,2.12,11.23,0.33,0.44,37.45,70.59,4.93,0.74,1.71,4.21,1.39,0.97,0.04,0.09
Sweden,10,535,56210,420.15,44150,0,2,1,1,1,70.81,43.57,96.24,8.19,52.28,16.74,4,82.85,0,0,82.7,36.23,59.77,42.32,0,6.95,7.5,116.82,0,6.81,9.46,-1.1,1.4,0.05,0.08,0.01,0.06
Switzerland,8,661.6,82730,449.79,56240,-0.1,9,10,0,1,75.98,42.25,86.64,15.59,41.41,12.38,8,0,0,0,86.09,113.82,151.64,154.7,168.39,9.74,7.73,135.92,111.05,15.85,58.12,-1.1,1.4,0.25,0.1,0.08,0.07
Syrian Arab Republic,22,56.3,2610,116.5,5200,0.8,2,3,0,0,107.64,69.85,45.93,14.48,5.16,2.28,70,48.27,9.51,2.57,0,38.34,55,8.48,23.16,0.42,0.55,22.11,42.11,52.14,34.88,-0.36,2.14,0.17,0.05,0,0
Tajikistan,8,6.9,860,17.8,2220,5.4,16,18,3,2,220.63,125.36,46.4,4.9,43.73,4.58,65,13.8,0.81,8.96,0,3.23,0,13.56,0,0.06,0.41,0,0,5.89,6.46,-0.29,2.21,1.88,2.03,1,0.6
Tanzania,48,26.7,570,73.6,1590,3.7,17,21,12,8,350.97,331.12,32.47,49.03,1.16,0.6,460,40.14,2.56,7.41,1.24,13.83,28.75,4.59,17.68,0.57,0.72,33.15,61.5,15.8,15.67,-0.89,1.61,0.89,0.4,0,0
Thailand,67,347.9,5210,630,9430,6.1,44,38,1,5,201.44,99.46,61.85,27.4,10.1,8.8,48,60.05,24.07,7.4,11.43,106.6,103.85,108.26,108.55,2.47,4.21,101.56,104.53,32.43,50.65,-0.18,2.32,2.04,15.12,0.26,1.56
Togo,7,3.3,500,6.1,920,2.9,5,6,6,3,334.88,291.57,28.47,21.4,12.23,1.79,300,19.61,0.66,2.17,1.9,16.04,38.35,16.02,31.07,1.03,1.46,99.89,81.02,14.47,18.37,-0.01,2.49,0.06,1.15,0,0
